2024-05-08 15:13:03.078 | INFO     | maa:my_callback:110 | {'device': 'Aur3'} - [基建] Dorm@2: ['夜莺']
2024-05-08 15:13:25.457 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "Stop", "algorithm": "JustReturn", "exec_times": 1, "max_times": 2147483647, "result": null, "task": "Stop"}, "first": ["Infrast@ReturnButton"], "pre_task": "InfrastEnteredFlag", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:26.067 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskExtraInfo", "details": {"class": "asst::InfrastDormTask", "details": {"facility": "Dorm", "index": 3}, "subtask": "InfrastDormTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919", "what": "EnterFacility"}}

2024-05-08 15:13:28.609 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "OcrDetect", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.996417, "text": "\u5fc3\u60c5"}, "task": "InfrastEnterOperList"}, "first": ["InfrastEnterOperList", "InfrastStationedInfo"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:29.709 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "OcrDetect", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.996417, "text": "\u5fc3\u60c5"}, "task": "InfrastEnterOperList"}, "first": ["InfrastEnterOperList", "InfrastStationedInfo"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:29.719 | INFO     | maa:my_callback:110 | {'device': 'Aur3'} - [基建] Dorm@3: ['空']
2024-05-08 15:13:29.719 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskExtraInfo", "details": {"class": "asst::InfrastDormTask", "details": {"candidates": [], "facility": "Dorm", "index": 3, "names": ["\u7a7a"]}, "subtask": "InfrastDormTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919", "what": "CustomInfrastRoomOperators"}}
2024-05-08 15:13:30.134 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.986003}, "task": "InfrastOperListTabMoodDoubleClickWhenUnclicked"}, "first": ["InfrastOperListTabMoodDoubleClickWhenUnclicked"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:30.234 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.986003}, "task": "InfrastOperListTabMoodDoubleClickWhenUnclicked"}, "first": ["InfrastOperListTabMoodDoubleClickWhenUnclicked"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:31.157 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.952094}, "task": "InfrastOperListTabMoodClick"}, "first": ["InfrastOperListTabMoodDoubleClickWhenUnclicked"], "pre_task": "InfrastOperListTabMoodDoubleClickWhenUnclicked", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:31.257 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.952094}, "task": "InfrastOperListTabMoodClick"}, "first": ["InfrastOperListTabMoodDoubleClickWhenUnclicked"], "pre_task": "InfrastOperListTabMoodDoubleClickWhenUnclicked", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:31.685 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.994282}, "task": "InfrastClearButton"}, "first": ["InfrastClearButton"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:32.793 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.994282}, "task": "InfrastClearButton"}, "first": ["InfrastClearButton"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:34.402 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2, "result": {"score": 0.946819}, "task": "InfrastOperListTabMoodDoubleClick"}, "first": ["InfrastOperListTabMoodDoubleClick"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:34.502 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2, "result": {"score": 0.946819}, "task": "InfrastOperListTabMoodDoubleClick"}, "first": ["InfrastOperListTabMoodDoubleClick"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:35.419 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 2, "max_times": 2, "result": {"score": 0.952094}, "task": "InfrastOperListTabMoodDoubleClick"}, "first": ["InfrastOperListTabMoodDoubleClick"], "pre_task": "InfrastOperListTabMoodDoubleClick", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:35.519 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 2, "max_times": 2, "result": {"score": 0.952094}, "task": "InfrastOperListTabMoodDoubleClick"}, "first": ["InfrastOperListTabMoodDoubleClick"], "pre_task": "InfrastOperListTabMoodDoubleClick", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
